miRNA	precursor
miR-10397-5p	mir-10397
miR-10397-3p	mir-10397
miR-10398-5p	mir-10398
miR-10398-3p	mir-10398
miR-10399-5p	mir-10399
miR-10399-3p	mir-10399
miR-10400-5p	mir-10400
miR-10400-3p	mir-10400
miR-10401-5p	mir-10401
miR-10401-3p	mir-10401
miR-10396b-5p	mir-10396b
miR-10396b-3p	mir-10396b
miR-10522-5p	mir-10522
miR-10523-5p	mir-10523
miR-9983-3p	mir-9983
miR-10524-5p	mir-10524
miR-10525-3p	mir-10525
miR-10526-3p	mir-10526
miR-10527-5p	mir-10527
miR-11181-5p	mir-11181
miR-11181-3p	mir-11181
miR-3059-5p	mir-3059
miR-3059-3p	mir-3059
miR-3085-5p	mir-3085
miR-3085-3p	mir-3085
miR-6529-5p	mir-6529
miR-6529-3p	mir-6529
miR-9851-5p	mir-9851
miR-9851-3p	mir-9851
