miRNA	precursor
miR-302a-3p	mir-302a
miR-101-2-5p	mir-101-2
miR-219a-2-3p	mir-219a-2
miR-34b-5p	mir-34b
miR-34b-3p	mir-34b
miR-34c-5p	mir-34c
miR-34c-3p	mir-34c
miR-299-5p	mir-299
miR-299-3p	mir-299
miR-301a-5p	mir-301a
miR-301a-3p	mir-301a
miR-99b-5p	mir-99b
miR-99b-3p	mir-99b
miR-296-5p	mir-296
miR-296-3p	mir-296
miR-130b-5p	mir-130b
miR-130b-3p	mir-130b
miR-30e-5p	mir-30e
miR-30e-3p	mir-30e
miR-26a-2-3p	mir-26a-2
miR-361-5p	mir-361
miR-361-3p	mir-361
miR-362-5p	mir-362
miR-362-3p	mir-362
miR-363-5p	mir-363
miR-363-3p	mir-363
miR-365a-5p	mir-365a
miR-365a-3p	mir-365a
miR-365b-5p	mir-365b
miR-365b-3p	mir-365b
miR-302b-5p	mir-302b
miR-302b-3p	mir-302b
miR-302c-5p	mir-302c
miR-302c-3p	mir-302c
miR-302d-5p	mir-302d
miR-302d-3p	mir-302d
miR-367-5p	mir-367
miR-367-3p	mir-367
miR-376c-5p	mir-376c
miR-376c-3p	mir-376c
miR-369-5p	mir-369
miR-369-3p	mir-369
miR-370-5p	mir-370
miR-370-3p	mir-370
miR-371a-5p	mir-371a
miR-371a-3p	mir-371a
miR-372-5p	mir-372
miR-372-3p	mir-372
miR-373-5p	mir-373
miR-373-3p	mir-373
miR-374a-5p	mir-374a
miR-374a-3p	mir-374a
miR-375-5p	mir-375
miR-375-3p	mir-375
miR-376a-5p	mir-376a-1
miR-376a-3p	mir-376a-1,mir-376a-2
miR-377-5p	mir-377
miR-377-3p	mir-377
miR-378a-5p	mir-378a
miR-378a-3p	mir-378a
miR-379-5p	mir-379
miR-379-3p	mir-379
miR-380-5p	mir-380
miR-380-3p	mir-380
miR-381-5p	mir-381
miR-381-3p	mir-381
miR-382-5p	mir-382
miR-382-3p	mir-382
miR-383-5p	mir-383
miR-383-3p	mir-383
miR-340-5p	mir-340
miR-340-3p	mir-340
miR-330-5p	mir-330
miR-330-3p	mir-330
miR-328-5p	mir-328
miR-328-3p	mir-328
miR-342-5p	mir-342
miR-342-3p	mir-342
miR-337-5p	mir-337
miR-337-3p	mir-337
miR-323a-5p	mir-323a
miR-323a-3p	mir-323a
miR-151a-5p	mir-151a
miR-151a-3p	mir-151a
miR-135b-5p	mir-135b
miR-135b-3p	mir-135b
miR-148b-5p	mir-148b
miR-148b-3p	mir-148b
miR-331-5p	mir-331
miR-331-3p	mir-331
miR-324-5p	mir-324
miR-324-3p	mir-324
miR-338-5p	mir-338
miR-338-3p	mir-338
miR-339-5p	mir-339
miR-339-3p	mir-339
miR-335-5p	mir-335
miR-335-3p	mir-335
miR-345-5p	mir-345
miR-345-3p	mir-345
miR-196b-5p	mir-196b
miR-196b-3p	mir-196b
miR-423-5p	mir-423
miR-423-3p	mir-423
miR-424-5p	mir-424
miR-424-3p	mir-424
miR-425-5p	mir-425
miR-425-3p	mir-425
miR-18b-5p	mir-18b
